Date,Open,High,Low,Close,Adj Close,Volume
2012-09-21,100.344284,100.724289,99.908569,100.012856,87.39492,142897300.0
2012-09-24,98.122856,99.302856,97.571426,98.684288,86.233955,159941600.0
2012-09-25,98.322861,98.968575,96.14286,96.220001,84.080582,129697400.0
2012-09-26,95.534286,96.098572,94.457146,95.025711,83.036949,144125800.0
2012-09-27,94.898575,97.452858,94.335716,97.331429,85.051788,148522500.0
2012-09-28,96.964287,97.30143,95.25,95.300003,83.276634,133777700.0
2012-10-01,95.879997,96.678574,93.785713,94.19857,82.314178,135898700.0
2012-10-02,94.544289,95.192856,92.949997,94.472855,82.553856,156998100.0
2012-10-03,94.980003,95.980003,94.66143,95.921425,83.819672,106070300.0
2012-10-04,95.89286,96.321426,95.078575,95.257141,83.239174,92681400.0
2012-10-05,95.028572,95.14286,93.040001,93.227142,81.465286,148501500.0
2012-10-08,92.41143,92.508568,90.872856,91.167145,79.665184,159498500.0
2012-10-09,91.235718,91.498573,89.078575,90.835716,79.37558,209649300.0
2012-10-10,91.391426,92.139999,91.0,91.558571,80.007248,127589000.0
2012-10-11,92.35714,92.457146,89.728569,89.728569,78.408127,136520300.0
2012-10-12,89.937141,90.76857,89.328575,89.958572,78.6091,115003700.0
2012-10-15,90.335716,90.732857,89.121429,90.68,79.239525,108125500.0
2012-10-16,90.767143,92.900002,90.14286,92.827141,81.115761,137442900.0
2012-10-17,92.695717,93.255714,92.0,92.087143,80.469109,97259400.0
2012-10-18,91.370003,91.722855,90.0,90.377144,78.974846,119156100.0
2012-10-19,90.150002,90.252853,87.08857,87.120003,76.128654,186021500.0
2012-10-22,87.488571,90.76857,87.251427,90.575714,79.148384,136682700.0
2012-10-23,90.14286,90.557144,87.385712,87.622856,76.568062,176786400.0
2012-10-24,88.777145,89.507141,87.234283,88.118568,77.001244,139631800.0
2012-10-25,88.571426,88.85714,86.507141,87.077141,76.091209,164081400.0
2012-10-26,87.061432,87.714287,84.428574,86.285713,75.39962,254608200.0
2012-10-31,84.982857,85.994286,83.957146,85.045715,74.316071,127500800.0
2012-11-01,85.459999,86.14286,84.881432,85.220001,74.468384,90324500.0
2012-11-02,85.127144,85.278572,82.10714,82.400002,72.00412,149843400.0
2012-11-05,83.360001,83.96714,82.514282,83.517143,72.980354,132283900.0
2012-11-06,84.318573,84.391426,82.870003,83.264282,72.759407,93729300.0
2012-11-07,81.977142,82.077141,79.39286,79.714287,69.975441,198412200.0
2012-11-08,80.089996,80.318573,76.470001,76.821426,67.435959,264036500.0
